USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AK,2282,1419986,Yakutat City and Borough,19811662400,4696570965,7649.326,1813.356,60.007062,-140.148108
AK,2290,1419987,Yukon-Koyukuk Census Area,3.76856E+11,5956675130,145504.892,2299.885,65.375716,-151.577878
AZ,4001,25441,Apache County,29001446857,54171648,11197.522,20.916,35.385084,-109.490172
AZ,4003,25442,Cochise County,15968982271,137024899,6165.659,52.906,31.840129,-109.775163
AZ,4005,25443,Coconino County,48222222066,109964494,18618.705,42.458,35.829692,-111.773728
AZ,4007,40471,Gila County,12323010025,97111871,4757.941,37.495,33.789618,-110.81187
AZ,4009,25444,Graham County,11972307736,47704127,4622.534,18.419,32.931828,-109.87831
AZ,4011,42807,Greenlee County,4773671754,13745297,1843.125,5.307,33.238872,-109.242323
AZ,4012,43540,La Paz County,11654002091,36568343,4499.636,14.119,33.72761,-114.038806
AZ,4013,37026,Maricopa County,23826388829,64707599,9199.421,24.984,33.346541,-112.495534
AZ,4015,25445,Mohave County,34475725687,387348987,13311.153,149.556,35.717705,-113.749689
AZ,4017,42808,Navajo County,25771504209,24078098,9950.434,9.297,35.390785,-110.321025
AZ,4019,25446,Pima County,23794325275,5272990,9187.041,2.036,32.128523,-111.783027
AZ,4021,25447,Pinal County,13897002021,22331547,5365.663,8.622,32.919038,-111.367005
AZ,4023,40472,Santa Cruz County,3203592835,3088043,1236.914,1.192,31.525733,-110.845228
AZ,4025,42809,Yavapai County,21039908972,11501645,8123.555,4.441,34.631212,-112.577385
AZ,4027,23901,Yuma County,14281191615,13171257,5513.999,5.085,32.773942,-113.910905
AR,5001,63755,Arkansas County,2560983561,116414546,988.801,44.948,34.28957,-91.376547
AR,5003,63756,Ashley County,2396641855,39310622,925.349,15.178,33.190835,-91.772267
AR,5005,69895,Baxter County,1435587413,84022300,554.283,32.441,36.28071,-92.330438
AR,5007,69896,Benton County,2194725342,94581599,847.388,36.518,36.337825,-94.256187
AR,5009,69897,Boone County,1528950316,30222256,590.331,11.669,36.304308,-93.079204
AR,5011,63757,Bradley County,1681514451,9532926,649.236,3.681,33.466549,-92.169156
AR,5013,63758,Calhoun County,1627959476,9926129,628.559,3.832,33.56046,-92.513879
AR,5015,66975,Carroll County,1631639595,22384372,629.98,8.643,36.337774,-93.541663
AR,5017,69160,Chicot County,1668755467,120391647,644.31,46.483,33.267139,-91.297158
AR,5019,66845,Clark County,2243121926,43395969,866.074,16.755,34.053316,-93.176208
AR,5021,63759,Clay County,1656162436,5149697,639.448,1.988,36.367302,-90.418704
AR,5023,66983,Cleburne County,1434052317,99015212,553.691,38.23,35.566315,-92.05995
AR,5025,63760,Cleveland County,1548252055,2500385,597.783,0.965,33.893201,-92.188714
AR,5027,63761,Columbia County,1984077019,1803419,766.056,0.696,33.223038,-93.232843
AR,5029,66846,Conway County,1430338558,37323753,552.257,14.411,35.265702,-92.689248
AR,5031,66847,Craighead County,1831693609,14141167,707.221,5.46,35.827729,-90.631421
AR,5033,69161,Crawford County,1531186174,31078638,591.194,12,35.583041,-94.236224
AR,5035,69162,Crittenden County,1579530155,68675461,609.86,26.516,35.211878,-90.315331
AR,5037,66848,Cross County,1596418461,15348593,616.381,5.926,35.285692,-90.763984
AR,5039,66849,Dallas County,1728522953,1864048,667.386,0.72,33.967823,-92.653999
AR,5041,66850,Desha County,1989488188,133059815,768.146,51.375,33.828752,-91.244103
AR,5043,66851,Drew County,2145506687,18920694,828.385,7.305,33.587242,-91.722778
AR,5045,66852,Faulkner County,1678022128,41920337,647.888,16.186,35.146343,-92.324646
AR,5047,66853,Franklin County,1576935154,27931280,608.858,10.784,35.508558,-93.887665
AR,5049,66854,Fulton County,1601113655,5527453,618.193,2.134,36.383619,-91.819664
AR,5051,66855,Garland County,1755499338,147165437,677.802,56.821,34.578861,-93.146915
AR,5053,66856,Grant County,1636383583,2897701,631.811,1.119,34.285568,-92.422979
AR,5055,66857,Greene County,1496270637,4789563,577.713,1.849,36.120625,-90.56637
AR,5057,66858,Hempstead County,1884268431,35371741,727.52,13.657,33.728611,-93.665809
AR,5059,66859,Hot Spring County,1593384272,18035672,615.209,6.964,34.315177,-92.944147
AR,5061,66872,Howard County,1524346627,17509480,588.554,6.76,34.083064,-93.990931
AR,5063,69163,Independence County,1978630939,19594216,763.954,7.565,35.737499,-91.559942
AR,5065,66860,Izard County,1503685426,8912363,580.576,3.441,36.094879,-91.913625
AR,5067,66861,Jackson County,1641890239,19587838,633.937,7.563,35.596605,-91.223178
AR,5069,66862,Jefferson County,2255220493,111446645,870.746,43.03,34.277695,-91.930701
AR,5071,66863,Johnson County,1708890241,59408531,659.806,22.938,35.573359,-93.466322
AR,5073,66864,Lafayette County,1368208572,43539042,528.268,16.811,33.24066,-93.611643
AR,5075,66865,Lawrence County,1521913336,12244879,587.614,4.728,36.041098,-91.101153
AR,5077,66866,Lee County,1560781798,43720896,602.621,16.881,34.779858,-90.779345
AR,5079,66873,Lincoln County,1454438320,27514936,561.562,10.624,33.957675,-91.727626
AR,5081,66874,Little River County,1378539222,84199050,532.257,32.509,33.699497,-94.229774
AR,5083,82850,Logan County,1834025084,60692560,708.121,23.434,35.218654,-93.72091
AR,5085,69164,Lonoke County,1996702861,82664680,770.931,31.917,34.755114,-91.894132
AR,5087,69165,Madison County,2160711712,7314801,834.255,2.824,36.012545,-93.724053
AR,5089,69898,Marion County,1546245413,112149478,597.009,43.301,36.266672,-92.678567
AR,5091,69166,Miller County,1620264247,31239378,625.588,12.062,33.305505,-93.901502
AR,5093,69899,Mississippi County,2332480023,49826383,900.576,19.238,35.766943,-90.052209
AR,5095,69167,Monroe County,1572464721,36715115,607.132,14.176,34.679512,-91.20331
AR,5097,69168,Montgomery County,2019883335,52856397,779.881,20.408,34.545581,-93.66333
AR,5099,69169,Nevada County,1600189832,7257493,617.837,2.802,33.666699,-93.305072
AR,5101,69900,Newton County,2126135120,5931453,820.905,2.29,35.910742,-93.215899
AR,5103,69170,Ouachita County,1897900010,18050432,732.783,6.969,33.59116,-92.878415
AR,5105,69171,Perry County,1428557969,23206783,551.569,8.96,34.946363,-92.926877
AR,5107,69172,Phillips County,1801659721,82148454,695.625,31.718,34.423687,-90.855593
AR,5109,69173,Pike County,1555595986,34992289,600.619,13.511,34.158191,-93.658659
AR,5111,69174,Poinsett County,1964196920,13522937,758.381,5.221,35.56887,-90.681104
AR,5113,69175,Polk County,2221380630,12384831,857.68,4.782,34.490915,-94.230884
AR,5115,69901,Pope County,2104499434,47197873,812.552,18.223,35.456557,-93.026818
AR,5117,69176,Prairie County,1678092392,71734973,647.915,27.697,34.831116,-91.55362
AR,5119,69177,Pulaski County,1967208492,124610525,759.543,48.112,34.773988,-92.316515
AR,5121,69178,Randolph County,1689275585,9858841,652.233,3.807,36.341298,-91.028441
AR,5123,83331,St. Francis County,1644111286,20050005,634.795,7.741,35.014026,-90.742138
AR,5125,67102,Saline County,1874122935,17837083,723.603,6.887,34.648525,-92.674463
AR,5127,69179,Scott County,2311096567,14900915,892.319,5.753,34.858869,-94.063641
AR,5129,69180,Searcy County,1725177056,6256643,666.095,2.416,35.896387,-92.695888
AR,5131,69181,Sebastian County,1377549293,39702896,531.875,15.329,35.196981,-94.274989
AR,5133,69182,Sevier County,1463672062,41829030,565.127,16.15,33.994877,-94.243279
AR,5135,69183,Sharp County,1565489406,5172583,604.439,1.997,36.173399,-91.471069
AR,5137,69902,Stone County,1570579412,7842206,606.404,3.028,35.857031,-92.140573
AR,5139,69903,Union County,2691561503,41401574,1039.218,15.985,33.168219,-92.598145
AR,5141,69904,Van Buren County,1838266668,37621422,709.759,14.526,35.582953,-92.515976
AR,5143,69905,Washington County,2439770221,26958668,942.001,10.409,35.971209,-94.218417
AR,5145,69906,White County,2680817964,18326633,1035.07,7.076,35.254722,-91.753158
AR,5147,69907,Woodruff County,1519723135,18704002,586.768,7.222,35.192777,-91.244535
AR,5149,69908,Yell County,2408666014,48861317,929.991,18.865,34.997713,-93.408303
CA,6001,1675839,Alameda County,1914240897,212981773,739.093,82.233,37.648327,-121.912928
CA,6003,1675840,Alpine County,1912243146,12557256,738.321,4.848,38.621783,-119.798352
CA,6005,1675841,Amador County,1539947591,29470575,594.577,11.379,38.44355,-120.653856
CA,6007,1675842,Butte County,4238422629,105325735,1636.464,40.666,39.665959,-121.601919
CA,6009,1675885,Calaveras County,2641819811,43808748,1020.012,16.915,38.1839,-120.561442
CA,6011,1675902,Colusa County,2980373022,14581043,1150.729,5.63,39.177739,-122.237563
CA,6013,1675903,Contra Costa County,1871894611,209855218,722.743,81.026,37.919479,-121.951543
CA,6015,1682074,Del Norte County,2606517997,578525673,1006.382,223.37,41.749903,-123.980998
CA,6017,277273,El Dorado County,4423442486,203356347,1707.901,78.516,38.785532,-120.534398
CA,6019,277274,Fresno County,15433281588,135402342,5958.824,52.279,36.761006,-119.655019
CA,6021,277275,Glenn County,3403106640,33749284,1313.947,13.031,39.602546,-122.4017
CA,6023,1681908,Humboldt County,9241050191,1254256517,3567.99,484.271,40.706673,-123.925818
CA,6025,277277,Imperial County,10817387422,790204642,4176.617,305.1,33.040814,-115.3554
CA,6027,1804637,Inyo County,26368506526,119060126,10180.938,45.969,36.561977,-117.403927
CA,6029,2054176,Kern County,21061724395,79488702,8131.978,30.691,35.346629,-118.729506
CA,6031,277280,Kings County,3598582246,5468555,1389.42,2.111,36.072478,-119.81553
CA,6033,277281,Lake County,3254241507,188959508,1256.47,72.958,39.094802,-122.746757
CA,6035,1693324,Lassen County,11761622251,463440332,4541.188,178.935,40.721086,-120.629952
CA,6037,277283,Los Angeles County,10510365728,1794809423,4058.075,692.98,34.196398,-118.261862
CA,6039,277284,Madera County,5535058234,41957135,2137.098,16.2,37.209821,-119.749802
CA,6041,277285,Marin County,1348041348,796972746,520.482,307.713,38.051817,-122.745974
CA,6043,277286,Mariposa County,3752425638,36268140,1448.82,14.003,37.570033,-119.91286
CA,6045,277287,Mendocino County,9081415546,962953371,3506.354,371.798,39.432388,-123.442881
CA,6047,277288,Merced County,5011540864,112770970,1934.967,43.541,37.194806,-120.722802
CA,6049,277289,Modoc County,10140841147,745929078,3915.401,288.005,41.592918,-120.71837
CA,6051,277290,Mono County,7896722221,214695416,3048.942,82.894,37.915836,-118.875167
CA,6053,277291,Monterey County,8496777466,1270701096,3280.624,490.62,36.240107,-121.315573
CA,6055,277292,Napa County,1938262446,104154637,748.367,40.214,38.5071,-122.325905
CA,6057,1682927,Nevada County,2480638586,41513176,957.78,16.028,39.297508,-120.771343
CA,6059,277294,Orange County,2047743976,407762761,790.638,157.438,33.675687,-117.777207
CA,6061,277295,Placer County,3644346108,246376805,1407.09,95.127,39.062032,-120.722718
CA,6063,277296,Plumas County,6612371925,156389419,2553.051,60.382,39.992295,-120.824371
CA,6065,277297,Riverside County,18664548548,250935519,7206.423,96.887,33.729828,-116.002239
CA,6067,277298,Sacramento County,2499176690,76080730,964.938,29.375,38.450011,-121.340441
CA,6069,277299,San Benito County,3596741910,4555000,1388.71,1.759,36.610702,-121.085296
CA,6071,277300,San Bernardino County,51947497395,123929658,20057.042,47.85,34.85722,-116.181197
CA,6073,277301,San Diego County,10895213672,826296339,4206.666,319.035,33.023604,-116.776117
CA,6075,277302,San Francisco County,121451664,479139414,46.893,184.997,37.727239,-123.032229
CA,6077,277303,San Joaquin County,3603647052,91127746,1391.376,35.185,37.934982,-121.272244
CA,6079,277304,San Luis Obispo County,8543720566,820409436,3298.749,316.762,35.385226,-120.447542
CA,6081,277305,San Mateo County,1161506629,757561040,448.46,292.496,37.414663,-122.371545
CA,6083,277306,Santa Barbara County,7083926262,2729818040,2735.119,1053.989,34.537057,-120.039973
CA,6085,277307,Santa Clara County,3341632767,35844480,1290.212,13.84,37.220777,-121.690622
CA,6087,277308,Santa Cruz County,1152967527,419570859,445.163,161.997,37.012488,-122.007205
CA,6089,1682610,Shasta County,9778188425,186530226,3775.38,72.02,40.760514,-122.043556
CA,6091,277310,Sierra County,2468686345,23299112,953.165,8.996,39.576925,-120.521993
CA,6093,277311,Siskiyou County,16259635719,179864658,6277.881,69.446,41.587986,-122.533287
CA,6095,277312,Solano County,2128379066,218648073,821.772,84.42,38.267226,-121.939594
CA,6097,1657246,Sonoma County,4081401375,497545782,1575.838,192.104,38.525182,-122.92611
CA,6099,277314,Stanislaus County,3870792979,51176484,1494.522,19.759,37.562384,-121.002656
CA,6101,277315,Sutter County,1560237071,15745769,602.411,6.079,39.03619,-121.70394
CA,6103,1692767,Tehama County,7639716083,32276053,2949.711,12.462,40.126156,-122.232276
CA,6105,277317,Trinity County,8234308375,73407838,3179.284,28.343,40.647724,-123.114404
CA,6107,277318,Tulare County,12494776168,37391591,4824.26,14.437,36.228824,-118.781061
CA,6109,277319,Tuolumne County,5752116633,138684399,2220.905,53.546,38.021434,-119.964733
CA,6111,277320,Ventura County,4773381212,945947858,1843.013,365.233,34.358741,-119.133143
CA,6113,277321,Yolo County,2628233454,22752699,1014.767,8.785,38.679595,-121.902441
CA,6115,277322,Yuba County,1636983405,30986529,632.043,11.964,39.266247,-121.340781
CO,8001,198116,Adams County,3024052608,41797314,1167.593,16.138,39.874325,-104.331872
CO,8003,198117,Alamosa County,1871620085,1847609,722.637,0.713,37.568442,-105.788041
CO,8005,198118,Arapahoe County,2066598513,19528620,797.918,7.54,39.644632,-104.331733
CO,8007,198119,Archuleta County,3496919117,13827548,1350.168,5.339,37.202395,-107.050863
CO,8009,198120,Baca County,6617316162,6142193,2554.96,2.372,37.306693,-102.537758
CO,8011,198121,Bent County,3918310167,73093675,1512.868,28.222,37.931891,-103.077584
CO,8013,198122,Boulder County,1881199124,36604910,726.335,14.133,40.09497,-105.397691
CO,8014,1945881,Broomfield County,85477515,1412735,33.003,0.545,39.953302,-105.052038
CO,8015,198123,Chaffee County,2624702236,4013482,1013.403,1.55,38.738236,-106.316949
CO,8017,198124,Cheyenne County,4605714106,8166137,1778.276,3.153,38.835386,-102.604585
CO,8019,198125,Clear Creek County,1023554847,3279694,395.197,1.266,39.689403,-105.670783
CO,8021,198126,Conejos County,3334117168,9235291,1287.31,3.566,37.213406,-106.176447
CO,8023,198127,Costilla County,3177804546,8828904,1226.957,3.409,37.277547,-105.42894
CO,8025,198128,Crowley County,2039409768,33430385,787.421,12.908,38.30618,-103.772736
CO,8027,198129,Custer County,1913033447,3364740,738.626,1.299,38.101994,-105.373515
CO,8029,198130,Delta County,2957996789,16897434,1142.089,6.524,38.861756,-107.864757
CO,8031,198131,Denver County,396364973,4208558,153.037,1.625,39.76185,-104.881105
CO,8033,198132,Dolores County,2763640287,2716141,1067.048,1.049,37.747602,-108.530383
CO,8035,198133,Douglas County,2176216560,6752467,840.242,2.607,39.325414,-104.925987
CO,8037,198134,Eagle County,4362873884,18844072,1684.515,7.276,39.626992,-106.695169
CO,8039,198136,Elbert County,4793697030,442148,1850.857,0.171,39.310582,-104.117729
CO,8041,198135,El Paso County,5508553857,7108814,2126.865,2.745,38.827383,-104.527472
CO,8043,198137,Fremont County,3970640036,2235393,1533.073,0.863,38.45517,-105.424958
CO,8045,198138,Garfield County,7634470433,21430768,2947.686,8.274,39.599352,-107.90978
CO,8047,198139,Gilpin County,388229135,941898,149.896,0.364,39.861156,-105.528878
CO,8049,198140,Grand County,4781889775,60250178,1846.298,23.263,40.123205,-106.095935
CO,8051,198141,Gunnison County,8389606683,53067063,3239.245,20.489,38.67264,-107.066506
CO,8053,198142,Hinsdale County,2893576418,15324680,1117.216,5.917,37.821165,-107.338261
CO,8055,198143,Huerfano County,4120807961,5792107,1591.053,2.236,37.687815,-104.959928
CO,8057,198144,Jackson County,4179536135,18750017,1613.728,7.239,40.663432,-106.329248
CO,8059,198145,Jefferson County,1979250586,25476338,764.193,9.836,39.579511,-105.245462
CO,8061,198146,Kiowa County,4578596953,47032931,1767.806,18.16,38.387663,-102.756849
CO,8063,198147,Kit Carson County,5596501540,2251930,2160.821,0.869,39.30534,-102.603023
CO,8065,198149,Lake County,976207737,18110615,376.916,6.993,39.205341,-106.350079
CO,8067,198148,La Plata County,4376814211,25396467,1689.897,9.806,37.287367,-107.839718
CO,8069,198150,Larimer County,6723949274,98086154,2596.131,37.871,40.658093,-105.486764
CO,8071,198151,Las Animas County,12361212084,6929976,4772.691,2.676,37.318831,-104.04411
CO,8073,198152,Lincoln County,6676208285,22780438,2577.699,8.796,38.99374,-103.507555
CO,8075,198153,Logan County,4761982864,16363552,1838.612,6.318,40.728091,-103.090464
CO,8077,198154,Mesa County,8621987952,31428161,3328.968,12.134,39.019492,-108.461837
CO,8079,198155,Mineral County,2268230040,5222170,875.769,2.016,37.651483,-106.932303
CO,8081,198156,Moffat County,12284799946,19803419,4743.188,7.646,40.616358,-108.211099
CO,8083,198157,Montezuma County,5256393931,27516850,2029.505,10.624,37.338025,-108.595786
CO,8085,198158,Montrose County,5803234271,4923261,2240.641,1.901,38.407507,-108.266282
CO,8087,198159,Morgan County,3316439982,34663099,1280.485,13.383,40.263167,-103.812285
CO,8089,198160,Otero County,3268485077,20052353,1261.969,7.742,37.88417,-103.72126
CO,8091,198161,Ouray County,1402665991,1599543,541.572,0.618,38.1506,-107.767133
CO,8093,198162,Park County,5682126649,43530470,2193.881,16.807,39.118914,-105.717648
CO,8095,198163,Phillips County,1781724997,301808,687.928,0.117,40.594712,-102.345105
CO,8097,198164,Pitkin County,2514046767,6472516,970.679,2.499,39.217332,-106.915783
CO,8099,198165,Prowers County,4243419883,15352635,1638.394,5.928,37.958181,-102.392161
CO,8101,198166,Pueblo County,6179911367,30284165,2386.077,11.693,38.170658,-104.489892
CO,8103,198167,Rio Blanco County,8342311515,4868111,3220.985,1.88,39.972622,-108.200716
CO,8105,198168,Rio Grande County,2361939390,984917,911.95,0.38,37.485853,-106.453128
CO,8107,198169,Routt County,6117617656,15831752,2362.025,6.113,40.483664,-106.987702
CO,8109,198170,Saguache County,8207136277,4454545,3168.793,1.72,38.031651,-106.234666
CO,8111,198171,San Juan County,1003638703,2035929,387.507,0.786,37.781074,-107.670257
CO,8113,198172,San Miguel County,3332210682,5213860,1286.574,2.013,38.009374,-108.427326
CO,8115,198173,Sedgwick County,1419419281,3530746,548.041,1.363,40.871568,-102.355358
CO,8117,198174,Summit County,1575560711,28287714,608.327,10.922,39.621023,-106.137555
CO,8119,198175,Teller County,1442748620,4944573,557.048,1.909,38.871994,-105.182552
CO,8121,198176,Washington County,6521817549,15207402,2518.088,5.872,39.96579,-103.209744
CO,8123,198177,Weld County,10326656593,76677066,3987.145,29.605,40.553696,-104.394221
CO,8125,198178,Yuma County,6123751613,11134678,2364.394,4.299,40.000631,-102.422649
CT,9001,212794,Fairfield County,1618653173,548965238,624.966,211.957,41.227413,-73.367061
CT,9003,212338,Hartford County,1903906838,40174748,735.103,15.512,41.806053,-72.732916
CT,9005,212796,Litchfield County,2384262445,62138207,920.569,23.992,41.791883,-73.235404
CT,9007,212797,Middlesex County,956491461,180679096,369.303,69.761,41.433003,-72.52278
