USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01103	00161578	Morgan County	1500535114	51006068	     579.360	      19.694	 34.454484	 -86.846402                                                                                                    
AL	01105	00161579	Perry County	1863920367	10918481	     719.664	       4.216	 32.639005	 -87.293827                                                                                                     
AL	01107	00161580	Pickens County	2282893925	22521211	     881.430	       8.695	 33.296793	 -88.096863                                                                                                   
AL	01109	00161581	Pike County	1740741440	2336918	     672.104	       0.902	 31.798651	 -85.941604                                                                                                       
AL	01111	00161582	Randolph County	1503616627	9285272	     580.550	       3.585	 33.296475	 -85.464068                                                                                                   
AL	01113	00161583	Russell County	1660584296	15635292	     641.155	       6.037	 32.289811	 -85.186980                                                                                                   
AL	01115	00164997	St. Clair County	1636625182	56293637	     631.905	      21.735	 33.712963	 -86.315663                                                                                                 
AL	01117	00161584	Shelby County	2033105955	63551442	     784.987	      24.537	 33.263043	 -86.678089                                                                                                    
AL	01119	00161585	Sumter County	2341060545	24433134	     903.889	       9.434	 32.597481	 -88.200057                                                                                                    
AL	01121	00161586	Talladega County	1908244350	60939131	     736.777	      23.529	 33.369277	 -86.175805                                                                                                 
AL	01123	00161587	Tallapoosa County	1855779658	128809177	     716.521	      49.734	 32.863369	 -85.799553                                                                                               
AL	01125	00161588	Tuscaloosa County	3423104097	76620463	    1321.668	      29.583	 33.290242	 -87.522735                                                                                                
AL	01127	00161589	Walker County	2049182266	36258741	     791.194	      14.000	 33.791558	 -87.301094                                                                                                    
AL	01129	00161590	Washington County	2797722215	21650837	    1080.207	       8.359	 31.405217	 -88.197564                                                                                                
AL	01131	00161591	Wilcox County	2301199919	48985146	     888.498	      18.913	 31.990085	 -87.304907                                                                                                    
AL	01133	00161592	Winston County	1587615096	48922725	     612.982	      18.889	 34.154607	 -87.365290                                                                                                   
AK	02013	01419964	Aleutians East Borough	18082854844	20793145269	    6981.830	    8028.279	 55.245044	-161.997477                                                                                       
AK	02016	01419965	Aleutians West Census Area	11370496382	25190642141	    4390.173	    9726.162	 51.959447	+178.338813                                                                                   
AK	02020	01416061	Anchorage Municipality	4415620140	663632140	    1704.881	     256.230	 61.174250	-149.284329                                                                                          
AK	02050	01419966	Bethel Census Area	105075883988	12779539126	   40570.027	    4934.208	 60.929141	-160.152625                                                                                          
AK	02060	01419967	Bristol Bay Borough	1304962204	993834924	     503.849	     383.722	 58.730158	-156.996632                                                                                             
AK	02068	01419988	Denali Borough	33026406704	66068782	   12751.567	      25.509	 63.681106	-150.026544                                                                                                  
AK	02070	01419968	Dillingham Census Area	48093048393	6077139202	   18568.831	    2346.397	 60.297403	-158.094698                                                                                        
AK	02090	01419969	Fairbanks North Star Borough	19006935676	272298859	    7338.619	     105.135	 64.692317	-146.601733                                                                                   
AK	02100	01419970	Haines Borough	6009021544	1049986695	    2320.096	     405.402	 59.098771	-135.576936                                                                                                 
AK	02105	02371430	Hoonah-Angoon Census Area	16966364741	7799664970	    6550.750	    3011.468	 58.403336	-135.884909                                                                                     
AK	02110	01419971	Juneau City and Borough	6998180840	1429473426	    2702.013	     551.923	 58.372910	-134.178445                                                                                        
AK	02122	01419972	Kenai Peninsula Borough	41634472271	22473680180	   16075.160	    8677.137	 60.366668	-152.322283                                                                                      
AK	02130	01419973	Ketchikan Gateway Borough	12583288018	4649397262	    4858.435	    1795.142	 55.449938	-131.106685                                                                                     
AK	02150	01419974	Kodiak Island Borough	16963710731	14172770704	    6549.726	    5472.138	 57.502015	-153.563512                                                                                        
AK	02164	01419975	Lake and Peninsula Borough	60641390963	24626906754	   23413.773	    9508.502	 58.205065	-156.705188                                                                                   
AK	02170	01419976	Matanuska-Susitna Borough	63735012963	1682052438	   24608.227	     649.444	 62.279075	-149.617562                                                                                     
AK	02180	01419977	Nome Census Area	59470568256	13767980127	   22961.716	    5315.847	 64.783686	-164.188912                                                                                             
AK	02185	01419978	North Slope Borough	229720513924	15801027072	   88695.590	    6100.811	 69.449343	-153.472830                                                                                         
AK	02188	01419979	Northwest Arctic Borough	92638195354	12901066002	   35767.809	    4981.130	 67.005066	-160.021086                                                                                     
AK	02195	02516404	Petersburg Borough	7556525819	2399243237	    2917.591	     926.353	 57.112458	-133.008598                                                                                             
AK	02198	01419980	Prince of Wales-Hyder Census Area	13628568286	14538534966	    5262.020	    5613.360	 55.682773	-133.162389                                                                            
AK	02220	01419981	Sitka City and Borough	7434284129	5027235256	    2870.393	    1941.026	 57.193204	-135.367396                                                                                         
AK	02230	02339479	Skagway Municipality	1171510538	30331285	     452.323	      11.711	 59.575097	-135.335418                                                                                             
AK	02240	01419983	Southeast Fairbanks Census Area	64150204972	752764069	   24768.534	     290.644	 63.864997	-143.218628                                                                                
AK	02261	01419984	Valdez-Cordova Census Area	88681052080	15799729384	   34239.947	    6100.310	 61.349840	-145.023141                                                                                   
AK	02270	01419985	Wade Hampton Census Area	44240303572	6712008910	   17081.277	    2591.521	 62.283060	-163.190903                                                                                      
AK	02275	02516402	Wrangell City and Borough	6582396501	2384301646	    2541.478	     920.584	 56.180779	-132.026788                                                                                      
AK	02282	01419986	Yakutat City and Borough	19811662400	4696570965	    7649.326	    1813.356	 60.007062	-140.148108                                                                                      
AK	02290	01419987	Yukon-Koyukuk Census Area	376855923315	5956675130	  145504.892	    2299.885	 65.375716	-151.577878                                                                                    
AZ	04001	00025441	Apache County	29001446857	54171648	   11197.522	      20.916	 35.385084	-109.490172                                                                                                   
AZ	04003	00025442	Cochise County	15968982271	137024899	    6165.659	      52.906	 31.840129	-109.775163                                                                                                 
AZ	04005	00025443	Coconino County	48222222066	109964494	   18618.705	      42.458	 35.829692	-111.773728                                                                                                
AZ	04007	00040471	Gila County	12323010025	97111871	    4757.941	      37.495	 33.789618	-110.811870                                                                                                     
AZ	04009	00025444	Graham County	11972307736	47704127	    4622.534	      18.419	 32.931828	-109.878310                                                                                                   
AZ	04011	00042807	Greenlee County	4773671754	13745297	    1843.125	       5.307	 33.238872	-109.242323                                                                                                  
AZ	04012	00043540	La Paz County	11654002091	36568343	    4499.636	      14.119	 33.727610	-114.038806                                                                                                   
AZ	04013	00037026	Maricopa County	23826388829	64707599	    9199.421	      24.984	 33.346541	-112.495534                                                                                                 
AZ	04015	00025445	Mohave County	34475725687	387348987	   13311.153	     149.556	 35.717705	-113.749689                                                                                                  
AZ	04017	00042808	Navajo County	25771504209	24078098	    9950.434	       9.297	 35.390785	-110.321025                                                                                                   
AZ	04019	00025446	Pima County	23794325275	5272990	    9187.041	       2.036	 32.128523	-111.783027                                                                                                      
AZ	04021	00025447	Pinal County	13897002021	22331547	    5365.663	       8.622	 32.919038	-111.367005                                                                                                    
AZ	04023	00040472	Santa Cruz County	3203592835	3088043	    1236.914	       1.192	 31.525733	-110.845228                                                                                                 
AZ	04025	00042809	Yavapai County	21039908972	11501645	    8123.555	       4.441	 34.631212	-112.577385                                                                                                  
AZ	04027	00023901	Yuma County	14281191615	13171257	    5513.999	       5.085	 32.773942	-113.910905                                                                                                     
AR	05001	00063755	Arkansas County	2560983561	116414546	     988.801	      44.948	 34.289570	 -91.376547                                                                                                 
AR	05003	00063756	Ashley County	2396641855	39310622	     925.349	      15.178	 33.190835	 -91.772267                                                                                                    
AR	05005	00069895	Baxter County	1435587413	84022300	     554.283	      32.441	 36.280710	 -92.330438                                                                                                    
AR	05007	00069896	Benton County	2194725342	94581599	     847.388	      36.518	 36.337825	 -94.256187                                                                                                    
AR	05009	00069897	Boone County	1528950316	30222256	     590.331	      11.669	 36.304308	 -93.079204                                                                                                     
AR	05011	00063757	Bradley County	1681514451	9532926	     649.236	       3.681	 33.466549	 -92.169156                                                                                                    
AR	05013	00063758	Calhoun County	1627959476	9926129	     628.559	       3.832	 33.560460	 -92.513879                                                                                                    
AR	05015	00066975	Carroll County	1631639595	22384372	     629.980	       8.643	 36.337774	 -93.541663                                                                                                   
AR	05017	00069160	Chicot County	1668755467	120391647	     644.310	      46.483	 33.267139	 -91.297158                                                                                                   
AR	05019	00066845	Clark County	2243121926	43395969	     866.074	      16.755	 34.053316	 -93.176208                                                                                                     
AR	05021	00063759	Clay County	1656162436	5149697	     639.448	       1.988	 36.367302	 -90.418704                                                                                                       
AR	05023	00066983	Cleburne County	1434052317	99015212	     553.691	      38.230	 35.566315	 -92.059950                                                                                                  
AR	05025	00063760	Cleveland County	1548252055	2500385	     597.783	       0.965	 33.893201	 -92.188714                                                                                                  
AR	05027	00063761	Columbia County	1984077019	1803419	     766.056	       0.696	 33.223038	 -93.232843                                                                                                   
AR	05029	00066846	Conway County	1430338558	37323753	     552.257	      14.411	 35.265702	 -92.689248                                                                                                    
AR	05031	00066847	Craighead County	1831693609	14141167	     707.221	       5.460	 35.827729	 -90.631421                                                                                                 
AR	05033	00069161	Crawford County	1531186174	31078638	     591.194	      12.000	 35.583041	 -94.236224                                                                                                  
AR	05035	00069162	Crittenden County	1579530155	68675461	     609.860	      26.516	 35.211878	 -90.315331                                                                                                
AR	05037	00066848	Cross County	1596418461	15348593	     616.381	       5.926	 35.285692	 -90.763984                                                                                                     
AR	05039	00066849	Dallas County	1728522953	1864048	     667.386	       0.720	 33.967823	 -92.653999                                                                                                     
AR	05041	00066850	Desha County	1989488188	133059815	     768.146	      51.375	 33.828752	 -91.244103                                                                                                    
AR	05043	00066851	Drew County	2145506687	18920694	     828.385	       7.305	 33.587242	 -91.722778                                                                                                      
AR	05045	00066852	Faulkner County	1678022128	41920337	     647.888	      16.186	 35.146343	 -92.324646                                                                                                  
AR	05047	00066853	Franklin County	1576935154	27931280	     608.858	      10.784	 35.508558	 -93.887665                                                                                                  
AR	05049	00066854	Fulton County	1601113655	5527453	     618.193	       2.134	 36.383619	 -91.819664                                                                                                     
AR	05051	00066855	Garland County	1755499338	147165437	     677.802	      56.821	 34.578861	 -93.146915                                                                                                  
AR	05053	00066856	Grant County	1636383583	2897701	     631.811	       1.119	 34.285568	 -92.422979                                                                                                      
AR	05055	00066857	Greene County	1496270637	4789563	     577.713	       1.849	 36.120625	 -90.566370                                                                                                     
AR	05057	00066858	Hempstead County	1884268431	35371741	     727.520	      13.657	 33.728611	 -93.665809                                                                                                 
AR	05059	00066859	Hot Spring County	1593384272	18035672	     615.209	       6.964	 34.315177	 -92.944147                                                                                                
AR	05061	00066872	Howard County	1524346627	17509480	     588.554	       6.760	 34.083064	 -93.990931                                                                                                    
AR	05063	00069163	Independence County	1978630939	19594216	     763.954	       7.565	 35.737499	 -91.559942                                                                                              
AR	05065	00066860	Izard County	1503685426	8912363	     580.576	       3.441	 36.094879	 -91.913625                                                                                                      
AR	05067	00066861	Jackson County	1641890239	19587838	     633.937	       7.563	 35.596605	 -91.223178                                                                                                   
AR	05069	00066862	Jefferson County	2255220493	111446645	     870.746	      43.030	 34.277695	 -91.930701                                                                                                
AR	05071	00066863	Johnson County	1708890241	59408531	     659.806	      22.938	 35.573359	 -93.466322                                                                                                   
AR	05073	00066864	Lafayette County	1368208572	43539042	     528.268	      16.811	 33.240660	 -93.611643                                                                                                 
AR	05075	00066865	Lawrence County	1521913336	12244879	     587.614	       4.728	 36.041098	 -91.101153                                                                                                  
AR	05077	00066866	Lee County	1560781798	43720896	     602.621	      16.881	 34.779858	 -90.779345                                                                                                       
AR	05079	00066873	Lincoln County	1454438320	27514936	     561.562	      10.624	 33.957675	 -91.727626                                                                                                   
AR	05081	00066874	Little River County	1378539222	84199050	     532.257	      32.509	 33.699497	 -94.229774                                                                                              
AR	05083	00082850	Logan County	1834025084	60692560	     708.121	      23.434	 35.218654	 -93.720910                                                                                                     
AR	05085	00069164	Lonoke County	1996702861	82664680	     770.931	      31.917	 34.755114	 -91.894132                                                                                                    
AR	05087	00069165	Madison County	2160711712	7314801	     834.255	       2.824	 36.012545	 -93.724053                                                                                                    
AR	05089	00069898	Marion County	1546245413	112149478	     597.009	      43.301	 36.266672	 -92.678567                                                                                                   
AR	05091	00069166	Miller County	1620264247	31239378	     625.588	      12.062	 33.305505	 -93.901502                                                                                                    
AR	05093	00069899	Mississippi County	2332480023	49826383	     900.576	      19.238	 35.766943	 -90.052209                                                                                               
AR	05095	00069167	Monroe County	1572464721	36715115	     607.132	      14.176	 34.679512	 -91.203310                                                                                                    
AR	05097	00069168	Montgomery County	2019883335	52856397	     779.881	      20.408	 34.545581	 -93.663330                                                                                                
AR	05099	00069169	Nevada County	1600189832	7257493	     617.837	       2.802	 33.666699	 -93.305072                                                                                                     
AR	05101	00069900	Newton County	2126135120	5931453	     820.905	       2.290	 35.910742	 -93.215899                                                                                                     
AR	05103	00069170	Ouachita County	1897900010	18050432	     732.783	       6.969	 33.591160	 -92.878415                                                                                                  
AR	05105	00069171	Perry County	1428557969	23206783	     551.569	       8.960	 34.946363	 -92.926877                                                                                                     
AR	05107	00069172	Phillips County	1801659721	82148454	     695.625	      31.718	 34.423687	 -90.855593                                                                                                  
AR	05109	00069173	Pike County	1555595986	34992289	     600.619	      13.511	 34.158191	 -93.658659                                                                                                      
AR	05111	00069174	Poinsett County	1964196920	13522937	     758.381	       5.221	 35.568870	 -90.681104                                                                                                  
AR	05113	00069175	Polk County	2221380630	12384831	     857.680	       4.782	 34.490915	 -94.230884                                                                                                      
AR	05115	00069901	Pope County	2104499434	47197873	     812.552	      18.223	 35.456557	 -93.026818                                                                                                      
AR	05117	00069176	Prairie County	1678092392	71734973	     647.915	      27.697	 34.831116	 -91.553620                                                                                                   
AR	05119	00069177	Pulaski County	1967208492	124610525	     759.543	      48.112	 34.773988	 -92.316515                                                                                                  
AR	05121	00069178	Randolph County	1689275585	9858841	     652.233	       3.807	 36.341298	 -91.028441                                                                                                   
AR	05123	00083331	St. Francis County	1644111286	20050005	     634.795	       7.741	 35.014026	 -90.742138                                                                                               
AR	05125	00067102	Saline County	1874122935	17837083	     723.603	       6.887	 34.648525	 -92.674463                                                                                                    
AR	05127	00069179	Scott County	2311096567	14900915	     892.319	       5.753	 34.858869	 -94.063641                                                                                                     
AR	05129	00069180	Searcy County	1725177056	6256643	     666.095	       2.416	 35.896387	 -92.695888                                                                                                     
AR	05131	00069181	Sebastian County	1377549293	39702896	     531.875	      15.329	 35.196981	 -94.274989                                                                                                 
AR	05133	00069182	Sevier County	1463672062	41829030	     565.127	      16.150	 33.994877	 -94.243279                                                                                                    
AR	05135	00069183	Sharp County	1565489406	5172583	     604.439	       1.997	 36.173399	 -91.471069                                                                                                      
AR	05137	00069902	Stone County	1570579412	7842206	     606.404	       3.028	 35.857031	 -92.140573                                                                                                      
AR	05139	00069903	Union County	2691561503	41401574	    1039.218	      15.985	 33.168219	 -92.598145                                                                                                     
AR	05141	00069904	Van Buren County	1838266668	37621422	     709.759	      14.526	 35.582953	 -92.515976                                                                                                 
AR	05143	00069905	Washington County	2439770221	26958668	     942.001	      10.409	 35.971209	 -94.218417                                                                                                
AR	05145	00069906	White County	2680817964	18326633	    1035.070	       7.076	 35.254722	 -91.753158                                                                                                     
AR	05147	00069907	Woodruff County	1519723135	18704002	     586.768	       7.222	 35.192777	 -91.244535                                                                                                  
AR	05149	00069908	Yell County	2408666014	48861317	     929.991	      18.865	 34.997713	 -93.408303                                                                                                      
CA	06001	01675839	Alameda County	1914240897	212981773	     739.093	      82.233	 37.648327	-121.912928                                                                                                  
CA	06003	01675840	Alpine County	1912243146	12557256	     738.321	       4.848	 38.621783	-119.798352                                                                                                    
CA	06005	01675841	Amador County	1539947591	29470575	     594.577	      11.379	 38.443550	-120.653856                                                                                                    
CA	06007	01675842	Butte County	4238422629	105325735	    1636.464	      40.666	 39.665959	-121.601919                                                                                                    
CA	06009	01675885	Calaveras County	2641819811	43808748	    1020.012	      16.915	 38.183900	-120.561442                                                                                                 
CA	06011	01675902	Colusa County	2980373022	14581043	    1150.729	       5.630	 39.177739	-122.237563                                                                                                    
CA	06013	01675903	Contra Costa County	1871894611	209855218	     722.743	      81.026	 37.919479	-121.951543                                                                                             
CA	06015	01682074	Del Norte County	2606517997	578525673	    1006.382	     223.370	 41.749903	-123.980998                                                                                                
CA	06017	00277273	El Dorado County	4423442486	203356347	    1707.901	      78.516	 38.785532	-120.534398                                                                                                
CA	06019	00277274	Fresno County	15433281588	135402342	    5958.824	      52.279	 36.761006	-119.655019                                                                                                  
CA	06021	00277275	Glenn County	3403106640	33749284	    1313.947	      13.031	 39.602546	-122.401700                                                                                                     
CA	06023	01681908	Humboldt County	9241050191	1254256517	    3567.990	     484.271	 40.706673	-123.925818                                                                                                
CA	06025	00277277	Imperial County	10817387422	790204642	    4176.617	     305.100	 33.040814	-115.355400                                                                                                
CA	06027	01804637	Inyo County	26368506526	119060126	   10180.938	      45.969	 36.561977	-117.403927                                                                                                    
CA	06029	02054176	Kern County	21061724395	79488702	    8131.978	      30.691	 35.346629	-118.729506                                                                                                     
CA	06031	00277280	Kings County	3598582246	5468555	    1389.420	       2.111	 36.072478	-119.815530                                                                                                      
CA	06033	00277281	Lake County	3254241507	188959508	    1256.470	      72.958	 39.094802	-122.746757                                                                                                     
CA	06035	01693324	Lassen County	11761622251	463440332	    4541.188	     178.935	 40.721086	-120.629952                                                                                                  
CA	06037	00277283	Los Angeles County	10510365728	1794809423	    4058.075	     692.980	 34.196398	-118.261862                                                                                            
CA	06039	00277284	Madera County	5535058234	41957135	    2137.098	      16.200	 37.209821	-119.749802                                                                                                    
CA	06041	00277285	Marin County	1348041348	796972746	     520.482	     307.713	 38.051817	-122.745974                                                                                                    
CA	06043	00277286	Mariposa County	3752425638	36268140	    1448.820	      14.003	 37.570033	-119.912860                                                                                                  
CA	06045	00277287	Mendocino County	9081415546	962953371	    3506.354	     371.798	 39.432388	-123.442881                                                                                                
CA	06047	00277288	Merced County	5011540864	112770970	    1934.967	      43.541	 37.194806	-120.722802                                                                                                   
CA	06049	00277289	Modoc County	10140841147	745929078	    3915.401	     288.005	 41.592918	-120.718370                                                                                                   
CA	06051	00277290	Mono County	7896722221	214695416	    3048.942	      82.894	 37.915836	-118.875167                                                                                                     
CA	06053	00277291	Monterey County	8496777466	1270701096	    3280.624	     490.620	 36.240107	-121.315573                                                                                                
CA	06055	00277292	Napa County	1938262446	104154637	     748.367	      40.214	 38.507100	-122.325905                                                                                                     
CA	06057	01682927	Nevada County	2480638586	41513176	     957.780	      16.028	 39.297508	-120.771343                                                                                                    
CA	06059	00277294	Orange County	2047743976	407762761	     790.638	     157.438	 33.675687	-117.777207                                                                                                   
CA	06061	00277295	Placer County	3644346108	246376805	    1407.090	      95.127	 39.062032	-120.722718                                                                                                   
CA	06063	00277296	Plumas County	6612371925	156389419	    2553.051	      60.382	 39.992295	-120.824371                                                                                                   
CA	06065	00277297	Riverside County	18664548548	250935519	    7206.423	      96.887	 33.729828	-116.002239                                                                                               
CA	06067	00277298	Sacramento County	2499176690	76080730	     964.938	      29.375	 38.450011	-121.340441                                                                                                
CA	06069	00277299	San Benito County	3596741910	4555000	    1388.710	       1.759	 36.610702	-121.085296                                                                                                 
CA	06071	00277300	San Bernardino County	51947497395	123929658	   20057.042	      47.850	 34.857220	-116.181197                                                                                          
CA	06073	00277301	San Diego County	10895213672	826296339	    4206.666	     319.035	 33.023604	-116.776117                                                                                               
